frequency,period,app_res_0_2,phase_0_2,app_res_0_3,phase_0_3,coherence_0_2+3,app_res_1_2,phase_1_2,app_res_1_3,phase_1_3,coherence_1_2+3,dapp_res_0_2,dphase_0_2,dapp_res_0_3,dphase_0_3,dapp_res_1_2,dphase_1_2,dapp_res_1_3,dphase_1_3
1.4648437500e-03,6.8266666667e+02,4.3439931212e+01,4.8258024132e+01,4.1688452809e+01,5.3014214814e+01,8.8469008246e-01,1.5805526300e+02,-1.2905058619e+02,6.4849560945e+00,-1.3524485798e+02,9.4305915727e-01,4.7645183218e+00,3.1436952353e+00,4.8981485811e+00,3.3678980658e+00,8.7873991418e+00,1.5929420553e+00,1.8679232246e+00,8.2805179311e+00
1.9531250000e-03,5.1200000000e+02,4.4201790775e+01,4.6114671043e+01,4.5475091489e+01,5.4792118884e+01,8.8117476976e-01,1.6913516599e+02,-1.2862575255e+02,8.0773816625e+00,-1.3063638437e+02,9.5206812438e-01,5.1760817095e+00,3.3566213106e+00,5.7250711825e+00,3.6090023874e+00,8.8030679334e+00,1.4912203040e+00,2.0978059230e+00,7.4613176068e+00
2.9296875000e-03,3.4133333333e+02,3.9422126341e+01,5.1480630538e+01,5.2432599053e+01,6.0247384811e+01,8.1057433654e-01,1.7599584294e+02,-1.2541588946e+02,5.8552117518e+00,-1.2839384516e+02,9.1795261351e-01,3.9869824619e+00,2.8985592334e+00,5.3590279044e+00,2.9293177657e+00,8.2343652587e+00,1.3404788760e+00,1.7504965064e+00,8.5969038568e+00
3.9062500000e-03,2.5600000000e+02,4.4143542485e+01,4.9363170827e+01,5.2434467640e+01,6.4375151174e+01,7.9529312750e-01,1.9515981731e+02,-1.2832541387e+02,6.6839689192e+00,-1.2514079521e+02,8.9823309221e-01,4.7802729620e+00,3.1037774883e+00,6.2416882597e+00,3.4122009265e+00,1.0408226688e+01,1.5280249964e+00,2.3076677947e+00,9.9405970863e+00
5.8593750000e-03,1.7066666667e+02,5.2729192716e+01,4.8182052659e+01,5.6301329724e+01,6.0116226115e+01,6.9714037413e-01,2.0306618106e+02,-1.2974416401e+02,6.7586186926e+00,-1.3245111721e+02,8.5860507996e-01,4.6844790855e+00,2.5459258086e+00,5.9865628981e+00,3.0475885963e+00,9.0152149720e+00,1.2719404959e+00,2.0340833251e+00,8.6547847654e+00
7.8125000000e-03,1.2800000000e+02,5.5373578002e+01,4.5333555005e+01,6.6303173500e+01,5.8064666615e+01,6.6243101745e-01,2.1095797199e+02,-1.2870685937e+02,8.3774706370e+00,-1.3616142787e+02,8.1652992410e-01,5.5669201283e+00,2.8812975065e+00,7.4462399199e+00,3.2190212494e+00,1.1045748893e+01,1.5001734799e+00,2.6906661968e+00,9.2411095484e+00
1.1718750000e-02,8.5333333333e+01,5.8437573450e+01,4.1348027239e+01,7.5383241750e+01,5.9922540845e+01,5.6255496758e-01,2.4893409741e+02,-1.2995152666e+02,9.0707118284e+00,-1.2698899909e+02,7.5896390227e-01,5.2100748878e+00,2.5549851032e+00,7.3144084906e+00,2.7807858873e+00,1.0949161513e+01,1.2601554599e+00,2.5834691545e+00,8.1871639589e+00
1.5625000000e-02,6.4000000000e+01,5.1760990943e+01,4.0963272318e+01,8.0640264680e+01,5.7638466973e+01,4.8823618087e-01,2.4433951559e+02,-1.3233082051e+02,8.1554356349e+00,-1.3411193012e+02,6.7112788794e-01,5.6843625572e+00,3.1476780454e+00,8.9352898859e+00,3.1759361306e+00,1.3393796421e+01,1.5705689635e+00,3.0816450690e+00,1.0890461854e+01
2.3437500000e-02,4.2666666667e+01,4.8083059538e+01,4.0337977971e+01,9.0272215363e+01,5.6711840247e+01,2.8529865609e-01,2.5139035783e+02,-1.3398485460e+02,1.3646001184e+01,-1.3092226722e+02,5.4127075001e-01,5.0622747378e+00,3.0174983038e+00,9.4171425816e+00,2.9898872069e+00,1.2589491136e+01,1.4348205571e+00,3.9822544116e+00,8.3901450739e+00
3.1250000000e-02,3.2000000000e+01,5.5704971072e+01,3.5435669997e+01,1.0725112638e+02,5.6289234236e+01,1.8288167094e-01,2.5370444257e+02,-1.3601879048e+02,1.4764311300e+01,-1.3224793142e+02,4.1689718636e-01,7.1029306589e+00,3.6553663546e+00,1.2968437557e+01,3.4661181126e+00,1.5915967066e+01,1.7974997515e+00,5.0520974414e+00,9.8512894094e+00
