frequency,period,app_res_0_2,phase_0_2,app_res_0_3,phase_0_3,coherence_0_2+3,app_res_1_2,phase_1_2,app_res_1_3,phase_1_3,coherence_1_2+3,dapp_res_0_2,dphase_0_2,dapp_res_0_3,dphase_0_3,dapp_res_1_2,dphase_1_2,dapp_res_1_3,dphase_1_3
1.4648437500e-03,6.8266666667e+02,4.2168886420e+01,4.8022056661e+01,4.1340512817e+01,5.3319419010e+01,8.9973917276e-01,1.5794724150e+02,-1.2865818972e+02,6.7403069362e+00,-1.3457562207e+02,9.5233260437e-01,3.7002680470e+00,2.5146243782e+00,3.5874335412e+00,2.4867779169e+00,6.7020355469e+00,1.2156817707e+00,1.4070000463e+00,5.9909920578e+00
1.9531250000e-03,5.1200000000e+02,4.3564597655e+01,4.6390553781e+01,4.4830923973e+01,5.4525018856e+01,9.0762085300e-01,1.7097600483e+02,-1.2868474783e+02,7.6490661368e+00,-1.3018648634e+02,9.6762206017e-01,3.4557192662e+00,2.2730621602e+00,3.9448288657e+00,2.5216413965e+00,5.0766480782e+00,8.5064917514e-01,1.4838826041e+00,5.5663067864e+00
2.9296875000e-03,3.4133333333e+02,4.2733401792e+01,5.0335908713e+01,5.2692186912e+01,5.6754047095e+01,8.7725934040e-01,1.7760075640e+02,-1.2554997667e+02,6.4548704970e+00,-1.2472151967e+02,9.4176032684e-01,2.8697208414e+00,1.9241833893e+00,3.7325035519e+00,2.0297263207e+00,5.0054055213e+00,8.0742365458e-01,1.3681612448e+00,6.0835729849e+00
3.9062500000e-03,2.5600000000e+02,4.5922557831e+01,4.8027962255e+01,5.2154354090e+01,6.1902804894e+01,8.5732632366e-01,1.9550851034e+02,-1.2813428751e+02,6.5365207374e+00,-1.1938995875e+02,9.3463939198e-01,3.3242583210e+00,2.0742266001e+00,4.0742912823e+00,2.2385388414e+00,5.9201635049e+00,8.6751554421e-01,1.3420858975e+00,5.8923986818e+00
5.8593750000e-03,1.7066666667e+02,5.2880914162e+01,4.8563234411e+01,5.8043409512e+01,6.0252520232e+01,7.8685932594e-01,2.1004200837e+02,-1.2887160208e+02,6.7669962064e+00,-1.2986454583e+02,9.0661227178e-01,3.0251355059e+00,1.6390709482e+00,3.8762516758e+00,1.9135174398e+00,5.6329556851e+00,7.6830883031e-01,1.3464206313e+00,5.7094786623e+00
7.8125000000e-03,1.2800000000e+02,5.4031076641e+01,4.8131918926e+01,6.3188640137e+01,5.8486935159e+01,7.6301287094e-01,2.1762526110e+02,-1.2887235377e+02,7.5692482270e+00,-1.3327791478e+02,8.9042963299e-01,3.3411296889e+00,1.7717872316e+00,4.4803935952e+00,2.0317057672e+00,6.8416449807e+00,9.0066181832e-01,1.4048119677e+00,5.3245557012e+00
1.1718750000e-02,8.5333333333e+01,5.9358145327e+01,4.2743685642e+01,7.4840212945e+01,5.8611890978e+01,7.0568344865e-01,2.4183856944e+02,-1.2992422141e+02,9.6020683702e+00,-1.2670477300e+02,8.3234334691e-01,2.9506710182e+00,1.4242224597e+00,4.4459667186e+00,1.7021103447e+00,6.6533619811e+00,7.8817366723e-01,1.6719440820e+00,4.9945890622e+00
1.5625000000e-02,6.4000000000e+01,5.7394006151e+01,4.1943056890e+01,8.0773573381e+01,5.7045642999e+01,6.3151710006e-01,2.4463749503e+02,-1.3210244199e+02,9.3997023175e+00,-1.3840676112e+02,7.7865956962e-01,3.5977014140e+00,1.7960662111e+00,5.4167187927e+00,1.9215028898e+00,8.0913025095e+00,9.4756247019e-01,1.9923253334e+00,6.0835224584e+00
2.3437500000e-02,4.2666666667e+01,5.1633535806e+01,4.0069471518e+01,8.7611476461e+01,5.6425674438e+01,5.1676899773e-01,2.4596402093e+02,-1.3357402405e+02,1.1734941367e+01,-1.2531057719e+02,6.9813188573e-01,2.9105863699e+00,1.6150976269e+00,5.1411783427e+00,1.6813442354e+00,6.8871694320e+00,8.0218771835e-01,2.0436385062e+00,4.9953523698e+00
3.1250000000e-02,3.2000000000e+01,5.6513262228e+01,3.5732461211e+01,1.0211148188e+02,5.6413030019e+01,4.4535065602e-01,2.5257613567e+02,-1.3561840051e+02,1.1679347670e+01,-1.2912532506e+02,6.2510658343e-01,3.9481533775e+00,2.0018182056e+00,7.0836373913e+00,1.9877488077e+00,8.8483416690e+00,1.0036549181e+00,2.5881373797e+00,6.3614191398e+00
