frequency,period,resp_real_0_2,resp_imag_0_2,resp_real_0_3,resp_imag_0_3,coherence_0_2+3,resp_real_1_2,resp_imag_1_2,resp_real_1_3,resp_imag_1_3,coherence_1_2+3,dresp_0_2,dresp_0_3,dresp_1_2,dresp_1_3
1.4648437500e-03,6.8266666667e+02,3.7170796163e-01,4.1314324373e-01,3.2870014945e-01,4.4129714577e-01,8.9973917276e-01,-6.7187642587e-01,-8.3989416958e-01,-1.5594261737e-01,-1.5826996724e-01,9.5233260437e-01,2.4383035835e-02,2.3875176576e-02,2.2819249766e-02,2.3190223413e-02
1.9531250000e-03,5.1200000000e+02,4.4988510272e-01,4.7226996340e-01,3.8399619001e-01,5.3884034554e-01,9.0762085300e-01,-8.0764751289e-01,-1.0086590317e+00,-1.7636027481e-01,-2.0879407310e-01,9.6762206017e-01,2.5869713948e-02,2.9111149093e-02,1.9183573132e-02,2.6510343898e-02
2.9296875000e-03,3.4133333333e+02,5.0500346283e-01,6.0905588236e-01,4.8165364720e-01,7.3475708289e-01,8.7725934040e-01,-9.3778371126e-01,-1.3123015244e+00,-1.7514609390e-01,-2.5274020819e-01,9.4176032684e-01,2.6565718981e-02,3.1116645588e-02,2.2729114599e-02,3.2588109956e-02
3.9062500000e-03,2.5600000000e+02,6.3336409438e-01,7.0411283299e-01,4.7533779502e-01,8.9033348187e-01,8.5732632366e-01,-1.2066727908e+00,-1.5370316746e+00,-1.7534750487e-01,-3.1131924641e-01,9.3463939198e-01,3.4278100953e-02,3.9422286780e-02,2.9585975406e-02,3.6681071634e-02
5.8593750000e-03,1.7066666667e+02,8.2372516745e-01,9.3312506160e-01,6.4703069797e-01,1.1321845207e+00,7.8685932594e-01,-1.5567931963e+00,-1.9313128716e+00,-2.8539710697e-01,-3.4176063746e-01,9.0661227178e-01,3.5602132254e-02,4.3542780953e-02,3.3263190793e-02,4.4295891283e-02
7.8125000000e-03,1.2800000000e+02,9.6961564692e-01,1.0818661787e+00,8.2119478794e-01,1.3393824605e+00,7.6301287094e-01,-1.8298223717e+00,-2.2699640636e+00,-3.7276727742e-01,-3.9587664209e-01,8.9042963299e-01,4.4918117246e-02,5.5698908526e-02,4.5830638059e-02,5.0459372583e-02
1.1718750000e-02,8.5333333333e+01,1.3696099030e+00,1.2657744828e+00,1.0906645861e+00,1.7876295724e+00,7.0568344865e-01,-2.4158528204e+00,-2.8868466929e+00,-4.4831724068e-01,-6.0135916495e-01,8.3234334691e-01,4.6352832816e-02,6.2200568102e-02,5.1781427741e-02,6.5303281115e-02
1.5625000000e-02,6.4000000000e+01,1.5750342011e+00,1.4153352946e+00,1.3664861022e+00,2.1078783535e+00,6.3151710006e-01,-2.9310839653e+00,-3.2436169762e+00,-6.4088766373e-01,-5.6887146705e-01,7.7865956962e-01,6.6367715154e-02,8.4229972962e-02,7.2297278170e-02,9.0817224845e-02
2.3437500000e-02,4.2666666667e+01,1.8824269968e+00,1.5834372672e+00,1.7719873403e+00,2.6696499328e+00,5.1676899773e-01,-3.7006596458e+00,-3.8896049785e+00,-6.7782122777e-01,-9.5694661536e-01,6.9813188573e-01,6.9330639681e-02,9.4014062315e-02,7.5164993496e-02,1.0211140786e-01
3.1250000000e-02,3.2000000000e+01,2.4121759935e+00,1.7353974183e+00,2.2096888999e+00,3.3274906477e+00,4.4535065602e-01,-4.4898138524e+00,-4.3939268051e+00,-8.5243560071e-01,-1.0479750093e+00,6.2510658343e-01,1.0380035630e-01,1.3854761357e-01,1.1003877430e-01,1.4967802679e-01
4.6875000000e-02,2.1333333333e+01,3.1910692923e+00,2.0320656370e+00,2.5174330933e+00,4.2780175380e+00,3.1049538562e-01,-5.5465049161e+00,-4.9887274554e+00,-8.9351882813e-01,-1.0676203246e+00,4.2061086650e-01,1.3544530330e-01,1.7121456026e-01,1.4492596575e-01,1.8394810425e-01
6.2500000000e-02,1.6000000000e+01,3.7167217626e+00,2.2649818988e+00,3.3447846899e+00,5.3188296932e+00,2.1119255836e-01,-5.9687031811e+00,-5.7840528689e+00,-1.1403292528e+00,-1.2417088242e+00,2.6854473703e-01,2.2564756470e-01,2.9786828359e-01,2.4267199086e-01,3.1433019029e-01
9.3750000000e-02,1.0666666667e+01,3.7147552433e+00,2.1827838639e+00,4.4792692664e+00,7.0999084505e+00,1.0806514363e-01,-6.7361833599e+00,-6.7599920806e+00,-1.4330693869e+00,-2.2324728506e+00,1.1000148190e-01,3.0808771775e-01,4.2275512145e-01,3.2833106626e-01,4.5511535669e-01
1.2500000000e-01,8.0000000000e+00,4.5248078117e+00,1.7148721474e+00,5.3302195115e+00,8.0090424041e+00,4.7239197846e-02,-8.2075743408e+00,-7.2063967218e+00,-1.2882151817e+00,-1.5420224083e+00,4.7239197846e-02,5.6492521425e-01,7.7822428739e-01,5.4684433859e-01,7.7873848711e-01
1.8750000000e-01,5.3333333333e+00,3.8825870402e+00,1.8128336980e+00,6.1435724504e+00,9.7529949310e+00,1.7617568989e-02,-9.0188334027e+00,-9.5963676820e+00,-1.4701223363e+00,-1.0524032689e+00,1.7617568989e-02,8.4217451380e-01,1.1593737758e+00,9.0905152523e-01,1.1871290881e+00
2.5000000000e-01,4.0000000000e+00,4.6569933261e+00,4.6709940246e+00,7.6556823753e+00,1.3821129386e+01,7.5452420080e-03,-1.1380151653e+01,-1.0410119575e+01,-1.6019654290e+00,-1.4219021686e+00,7.5452420080e-03,1.8940888317e+00,2.6504384752e+00,1.7017165171e+00,2.3323479849e+00
3.7500000000e-01,2.6666666667e+00,5.8817311740e+00,-1.5972278172e+00,1.8037653855e+01,1.5403697156e+01,2.0282928584e-03,-1.1932312433e+01,-1.3237884687e+01,4.8469904838e-02,-4.3279818159e+00,2.0282928584e-03,3.5443325830e+00,5.3513649026e+00,2.8261002484e+00,4.1179669308e+00
5.0000000000e-01,2.0000000000e+00,8.8132236485e+00,1.5037406383e-01,2.4270149278e+01,1.0618930956e+01,9.4692383969e-04,-1.1618611763e+01,-1.4854814657e+01,-7.8809573017e+00,-6.4956132077e+00,9.4692383969e-04,7.4438569167e+00,1.1572287490e+01,5.7232451992e+00,8.0654408300e+00
7.5000000000e-01,1.3333333333e+00,-7.9844835846e+00,-4.4166576540e+00,1.9953497599e+01,1.6970518452e+01,4.8556897195e-04,-1.0865807590e+01,-1.0269830131e+01,-7.1862838138e+00,-7.6459468076e+00,4.8556897195e-04,8.4181960409e+00,1.1789844393e+01,5.4624217525e+00,6.8953858616e+00
1.0000000000e+00,1.0000000000e+00,2.4436696847e+01,-2.0246321618e+01,-7.6693733746e+01,-1.8523793629e+01,8.3444887217e-05,-8.0137565169e+00,1.1932556636e+01,3.2624372311e+01,-4.2723584934e+01,8.3444887217e-05,4.7986208580e+01,8.8279994884e+01,5.5000431966e+01,9.6978773198e+01
